Order,Stn,Block,Grid,Surveyors,Date,Sampled,Y0Count,Y0Weight,Y1Count,Y1Weight,Y2Count,Y2Weight,Y3Count,Y3Weight,Substrata,Media,Easting,Northing,fifteen
1,1,NoA,250,AP_PD,14/05/2023,Y,0,0,0,0,0,0,0,0,sand,5,245000,200000,0
2,2,NoA,250,AP_PD,14/05/2023,Y,0,0,0,0,0,0,1,6,sand,5,245250,200000,6
3,3,NoA,250,AP_PD,14/05/2023,Y,0,0,0,0,0,0,0,0,sand,5,245500,200000,0
4,4,NoA,250,AP_PD,14/05/2023,Y,0,0,0,0,0,0,0,0,sand,5,245750,200000,0
5,5,NoA,250,AP_PD,14/05/2023,Y,0,0,5,10,14,77,0,0,sand,5,246000,200000,77
6,6,NoA,250,AP_PD,14/05/2023,Y,0,0,0,0,0,0,1,7,sand,5,245000,199750,7
7,7,NoA,250,AP_PD,14/05/2023,Y,0,0,0,0,0,0,0,0,sand,5,245250,199750,0
8,8,NoA,250,AP_PD,14/05/2023,Y,0,0,0,0,1,8,0,0,sand,5,245500,199750,8
9,26,SB,250,VS,21/05/2023,N,,,,,,,,,,0,245000,196500,
10,32,SB,250,VS,21/05/2023,N,,,,,,,,,,0,245250,197000,
11,33,SB,250,VS,21/05/2023,Y,0,0,11,18,5,20,2,17,sand,5,245250,196750,40
12,34,SB,250,VS,21/05/2023,Y,0,0,6,1,1,4,1,7,sand,5,245250,196500,13
13,35,NB,250,VS_LE,19/05/2023,Y,0,0,0,0,0,0,0,0,fine_sand,4,245500,199250,0
14,42,SB,250,VS,21/05/2023,N,,,,,,,,,channel,7,245500,196750,
15,43,SB,250,VS,21/05/2023,Y,0,0,0,0,1,5,2,15,sand,5,245500,196500,20
16,44,SB,250,VS,21/05/2023,N,,,,,,,,,sand,5,245500,196250,0
17,45,SB,250,VS,21/05/2023,Y,0,0,0,0,0,0,0,0,muddy_sand,3,245500,196000,0
18,46,SB,250,VS,21/05/2023,Y,0,0,0,0,0,0,0,0,saltmarsh,1,245500,195750,0
19,48,NB,250,VS_LE,19/05/2023,N,,,,,,,,,channel,7,245750,199750,
20,49,NB,250,VS_LE,19/05/2023,Y,0,0,0,0,0,0,0,0,fine_sand,4,245750,199250,0
21,50,NB,250,VS_LE,19/05/2023,N,,,,,,,,,channel,7,245750,199000,0
22,56,SD,250,VS,21/05/2023,N,,,,,,,,,,0,245750,196750,
23,57,SD,250,VS,21/05/2023,Y,0,0,0,0,1,6,0,0,sand,5,245750,196500,6
