length,y0,y1,y2,total
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,34,0,34
9,0,51,0,51
10,0,122,0,122
11,0,242,0,242
12,0,421,0,421
13,0,816,2,818
14,0,1160,2,1162
15,0,1352,30,1382
16,0,1541,114,1654
17,0,1157,246,1403
18,0,762,304,1066
19,0,243,315,558
20,0,96,289,385
21,0,16,244,260
22,0,11,201,212
23,0,1,154,155
24,0,1,115,116
25,0,0,99,99
26,0,0,61,61
27,0,0,44,44
28,0,0,21,21
29,0,0,10,10
30,0,5,2,7
31,0,0,3,3
32,0,0,3,3
33,0,0,1,1
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
